"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"164Y",2004,"SOUTH SEAL ROCK",0.576776273050118,"M",12,12,12,1,2,3,4,5,6,7,8,9,12,11,12,12,12,12,12
"165R",2001,"PYRAMID ROCK",-1.04477657680594,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"165Y",2004,"SOUTH SEAL ROCK",0.234729968783606,"M",12,12,12,12,2,3,4,5,6,7,8,9,10,11,12,12,12,12,12
"166R",2001,"PYRAMID ROCK",-0.639388364341924,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"166Y",2004,"SOUTH SEAL ROCK",0.146051297307103,"M",12,12,12,12,12,12,4,12,6,7,12,12,10,11,11,11,12,12,12
"167R",2001,"PYRAMID ROCK",-0.297342060075412,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"167Y",2004,"SOUTH SEAL ROCK",-0.398689113191416,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"168R",2001,"PYRAMID ROCK",-1.00677143188744,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"168Y",2004,"SOUTH SEAL ROCK",0.640118181247621,"M",12,12,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"169R",2001,"PYRAMID ROCK",0.222061587144106,"F",12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,12,12
"169Y",2004,"SOUTH SEAL ROCK",0.234729968783606,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"16R",2001,"PYRAMID ROCK",-0.0819795722039047,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"16Y",2002,"SOUTH SEAL ROCK",0.513434364852616,"M",12,12,2,3,4,5,12,7,8,9,10,11,11,11,11,11,11,11,11
"170R",2001,"PYRAMID ROCK",-0.360683968272914,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"170Y",2004,"SOUTH SEAL ROCK",0.741465234363624,"M",12,12,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"171R",2001,"PYRAMID ROCK",-1.01943981352694,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"171Y",2004,"SOUTH SEAL ROCK",0.0573726258306004,"F",12,12,12,1,2,3,4,5,6,7,8,12,12,12,12,12,12,12,12
"172R",2001,"PYRAMID ROCK",-1.04477657680594,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"172Y",2004,"SOUTH SEAL ROCK",0.0700410074701005,"M",12,12,12,1,2,3,4,5,12,12,12,12,12,12,12,12,12,12,12
